merit_mean,merit_max,not_frac,nand_frac,and_frac,ornot_frac,andnot_frac,or_frac,nor_frac,xor_frac,equ_frac,true_frac,false_frac,is_frac,dominant_genome
1,1,0,0,0,0,0,0,0,0,0,0,0.1,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.0952381,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.04348,2,0,0,0,0,0,0,0,0,0,0,0.0869565,0.0434783,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.04167,2,0,0,0,0,0,0,0,0,0,0,0.0833333,0.0416667,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.04167,2,0,0,0,0,0,0,0,0,0,0,0.0833333,0.0416667,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.03846,2,0,0,0,0,0,0,0,0,0,0,0.0769231,0.0384615,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1,1,0,0,0,0,0,0,0,0,0,0,0.0714286,0,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.03333,2,0,0,0,0,0,0,0,0,0,0,0.0666667,0.0333333,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.03226,2,0,0,0,0,0,0,0,0,0,0,0.0645161,0.0322581,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.03125,2,0,0,0,0,0,0,0,0,0,0,0.0625,0.03125,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.03125,2,0,0,0,0,0,0,0,0,0,0,0.0625,0.03125,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.02857,2,0,0,0,0,0,0,0,0,0,0,0.0571429,0.0285714,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.05405,2,0,0,0,0,0,0,0,0,0,0,0.0540541,0.0540541,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.05263,2,0,0,0,0,0,0,0,0,0,0,0.0526316,0.0526316,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.05128,2,0,0,0,0,0,0,0,0,0,0,0.0512821,0.0512821,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.04878,2,0,0,0,0,0,0,0,0,0,0,0.0487805,0.0487805,"[48]aaaaaaaaaaaaaasaaaaaaaaaawaaajaaaaaaaaaaaaaaaaaa"
1.06818,2,0,0,0,0,0,0,0,0,0,0.0227273,0.0454545,0.0681818,"[114]cbcsccucczccaazaoazaaaaaaaaanapaaaaalaaaaaaaaaaauataaaaaqaaaaabaaaaahacaaaaaaaaaaqaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaa"
1.08511,2,0,0,0,0,0,0,0,0,0,0.0212766,0.0851064,0.0851064,"[114]cbcsccucczccaazaoazaaaaaaaaanapaaaaalaaaaaaaaaaauataaaaaqaaaaabaaaaahacaaaaaaaaaaqaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaa"
1.08333,2,0,0,0,0,0,0,0,0,0,0.0208333,0.0833333,0.0833333,"[114]cbcsccucczccaazaoazaaaaaaaaanapaaaaalaaaaaaaaaaauataaaaaqaaaaabaaaaahacaaaaaaaaaaqaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaa"
1.08,2,0,0,0,0,0,0,0,0,0,0.02,0.08,0.08,"[114]cbcsccucczccaazaoazaaaaaaaaanapaaaaalaaaaaaaaaaauataaaaaqaaaaabaaaaahacaaaaaaaaaaqaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaa"
1.08,2,0,0,0,0,0,0,0,0,0,0.02,0.08,0.08,"[114]cbcsccucczccaazaoazaaaaaaaaanapaaaaalaaaaaaaaaaauataaaaaqaaaaabaaaaahacaaaaaaaaaaqaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaa"
1.07692,2,0,0,0,0,0,0,0,0,0,0.0192308,0.0769231,0.0769231,"[114]cbcsccucczccaazaoazaaaaaaaaanapaaaaalaaaaaaaaaaauataaaaaqaaaaabaaaaahacaaaaaaaaaaqaaaaiaaaaaaaaaaaaaaaaaaaaaaaaaaa"
1.07273,2,0,0,0,0,0,0,0,0,0,0.0181818,0.0727273,0.0727273,"[112]cbcscchcccmcaazaaawtaaaataaalnapqaaaawaaaaaaaaaaaaaaaaaaraaaaaoaasaaaaaamaanaaaaaaaxaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
